Tract,Income,Population,Population Density,Unemployment (%),Under 18 Population,Under 5 Population,Non-White (%),School Enrollment,Non-Hispanic and Non-Black (%),Highschool Graduate (%),Poverty Rate (%),Owner Occupied,Renter Occupied,Owner Occupied (%),Renter Occupied (%),65 years and over,Under 18 (%),Under 5 (%),65 years and over (%),School Enrollment (%)
211400,30368,3890,2696.0088085995812,9.5,1136,466,69.20308483290488,629,12.0,26.6,37.1,456,997,31.383344803854097,68.6166552,334,0.29203084832904885,0.11979434447300771,0.08586118251928021,0.16169665809768638
211500,32285,6547,2802.880299389503,6.9,1893,415,36.291431189857946,1373,1.7000000000000055,33.4,27.1,954,951,50.07874015748032,49.92125984251968,569,0.28914006415151977,0.06338781121124179,0.08691003513059417,0.20971437299526502
211600,31809,3068,6825.070805771641,3.9,829,300,59.485006518904825,484,4.799999999999994,35.1,28.5,487,673,41.98275862068965,58.01724137931035,273,0.27020860495436766,0.09778357235984354,0.08898305084745763,0.1577574967405476
211700,31367,4142,2413.275816436961,5.2,1009,363,59.97102848865282,730,5.600000000000001,52.4,32.2,595,863,40.80932784636489,59.19067215363511,553,0.2436021245774988,0.08763882182520522,0.13351038145823274,0.17624336069531626
211900,35487,5398,11209.24451438356,7.3,1666,594,31.233790292701,990,2.2000000000000055,26.2,37.4,869,577,60.09681881051176,39.90318118948824,643,0.30863282697295297,0.11004075583549462,0.11911819192293442,0.18340125972582438
212300,25392,4387,3504.327411404496,9.2,933,303,39.867791201276496,664,9.399999999999997,24.8,35.8,748,850,46.808510638297875,53.191489361702125,619,0.21267380898108046,0.06906770002279462,0.14109870070663325,0.15135627991793937
212400,38194,3037,966.3162444419586,8.2,690,272,48.73230161343431,460,2.9999999999999947,28.8,30.8,617,292,67.87678767876788,32.123212321232124,425,0.22719789265722753,0.08956206783009549,0.1399407309845242,0.151465261771485
212500,40735,4005,907.6024861311082,16.0,1173,196,55.58052434456929,1081,5.300000000000004,24.4,34.2,734,614,54.45103857566765,45.54896142433235,611,0.29288389513108615,0.04893882646691636,0.15255930087390762,0.26991260923845195
220100,32310,2117,3090.7440451505354,17.7,632,97,64.05290505432215,481,0.4000000000000057,23.5,27.1,355,322,52.437223042836045,47.56277695716396,274,0.29853566367501183,0.04581955597543694,0.12942843646669816,0.2272083136513935
220200,41750,2646,4643.397219190491,4.8,532,181,15.419501133786849,405,7.199999999999994,27.8,23.2,485,377,56.264501160092806,43.735498839907194,312,0.20105820105820105,0.06840513983371126,0.11791383219954649,0.15306122448979592
220300,47035,4437,5803.741569771063,3.5,1350,403,15.32567049808429,973,7.000000000000003,27.5,27.2,588,649,47.53435731608731,52.46564268391269,315,0.30425963488843816,0.0908271354518819,0.07099391480730223,0.21929231462700022
220400,36530,4253,5779.449963,7.1,1084,328,12.932047966141546,725,5.7999999999999945,25.7,40.3,614,653,48.460931333859506,51.53906866614049,538,0.25487890900540794,0.07712203150717141,0.12649894192334823,0.17046790500822948
220500,15906,3377,3641.927778859566,6.2,536,171,26.17708024874149,407,12.300000000000004,24.6,45.6,328,1414,18.828932261768085,81.17106773823191,892,0.15872075806929228,0.05063665975718093,0.2641397690257625,0.12052117263843648
220600,38958,4083,6368.257542404442,7.0,1676,457,28.16556453588048,1302,2.8999999999999986,28.1,35.4,544,524,50.936329588014985,49.063670411985015,264,0.4104824883663973,0.11192750428606417,0.06465833945628215,0.3188831741366642
220700,25688,6419,3994.571969749208,7.3,2247,665,18.55429194578595,1528,5.300000000000006,26.5,44.3,971,943,50.731452455590386,49.268547544409614,442,0.3500545256270447,0.10359869138495092,0.0688580775821779,0.2380433089266241
220800,24894,4089,6106.478335686602,4.1,1463,422,44.87649792125214,1095,1.8000000000000045,31.8,55.2,325,753,30.14842300556586,69.85157699443414,279,0.3577891905111274,0.10320371729029103,0.06823184152604549,0.2677916360968452
220900,39891,1755,3036.252501941264,6.7,528,138,19.772079772079778,417,11.300000000000004,36.2,28.5,224,268,45.52845528455284,54.47154471544715,141,0.30085470085470084,0.07863247863247863,0.08034188034188035,0.2376068376068376
221000,31464,4214,4381.321794297208,5.3,1428,480,12.743236829615569,967,8.3,31.7,35.9,573,532,51.85520361990951,48.14479638,319,0.3388704318936877,0.11390602752728998,0.0757000474608448,0.2294731846226863
221100,29175,3694,3123.2056548345613,2.0,1104,286,7.011369788846779,902,8.899999999999995,26.6,36.7,614,367,62.589194699286445,37.410805300713555,355,0.29886302111532215,0.07742284786139686,0.09610178668110449,0.2441797509474824
221200,43706,6473,6705.646969930762,1.6,2164,664,10.118955661980534,1530,3.900000000000003,40.0,32.8,990,684,59.13978494623656,40.86021505376344,497,0.33431175652711265,0.10257994747412329,0.07678047273289047,0.23636644523404912
221300,46532,9917,7485.535600752916,2.9,2992,562,13.300393264091964,2514,4.8,34.9,26.5,1679,842,66.60055533518445,33.39944466481555,706,0.3017041443985076,0.056670364021377435,0.07119088434002219,0.2535040838963396
221400,34639,5991,7685.303500716935,2.6,1582,463,4.7404439993323315,1160,6.2000000000000055,26.0,25.0,719,1082,39.92226540810661,60.07773459189339,379,0.2640627608078785,0.07728259055249541,0.06326155900517443,0.19362376898681355
221500,30556,8398,9622.412908,3.2,3229,987,20.13574660633484,2146,5.399999999999997,34.4,42.5,821,1880,30.396149574231767,69.60385042576823,387,0.38449630864491546,0.11752798285306025,0.04608240057156466,0.25553703262681593
221600,49071,9403,4225.2943691656155,2.8,2952,893,8.529192810805062,2061,5.499999999999997,30.3,27.7,1848,595,75.64469914040114,24.355300859598856,873,0.31394235882165267,0.09496969052430075,0.09284270977347656,0.21918536637243433
221700,43096,7898,3838.643516970518,2.4,2593,828,4.190934413775639,1829,4.799999999999997,20.7,21.2,1562,715,68.59903381642512,31.40096618357488,590,0.3283109648012155,0.10483666751076222,0.07470245631805521,0.23157761458597112
221800,30469,4091,3371.3467582597277,0.0,1672,440,7.870936201417746,1242,6.5,23.9,41.2,648,432,60.0,40.0,202,0.40870202884380347,0.10755316548521145,0.04937668051821071,0.30359325348325594
221900,43438,5151,5008.716055662186,5.3,1513,418,0.23296447291788,1002,3.299999999999997,29.6,24.3,718,590,54.89296636085626,45.10703363914373,307,0.29372937293729373,0.08114929139972821,0.05960007765482431,0.1945253348864298
222000,37467,2327,5302.306372252327,4.7,642,153,18.564675547915773,562,8.600000000000003,32.3,28.4,392,168,70.0,30.0,161,0.2758917060593038,0.06574989256553503,0.06918779544477868,0.2415126772668672
222100,29983,5527,6264.675564994308,6.2,1767,369,3.6728785959833545,1408,5.499999999999995,28.0,37.9,936,471,66.52452025586354,33.47547974413646,475,0.31970327483263977,0.0667631626560521,0.08594174054640855,0.2547494119775647
222200,34917,3609,3117.9295935661885,3.2,859,262,14.491548905513993,626,11.999999999999996,27.2,29.3,515,492,51.14200595829196,48.85799404170804,269,0.23801607093377666,0.07259628706012745,0.07453588251593239,0.17345525076198393
222300,43281,5036,2610.5444954637537,2.9,1756,685,5.460683081810961,1119,5.399999999999997,33.7,31.1,820,399,67.26825266611976,32.73174733388023,211,0.34868943606036534,0.13602065131056393,0.04189833200953137,0.22220015885623512
222401,37266,3423,1750.416913,3.1,1055,300,4.177621969033012,717,8.100000000000003,35.6,30.7,527,387,57.65864332603938,42.34135667396061,155,0.3082091732398481,0.0876424189307625,0.04528191644756062,0.20946538124452235
222402,47904,6061,3853.8494885536056,1.7,2066,634,9.453885497442666,1467,9.999999999999996,25.6,29.6,864,507,63.01969365426696,36.98030634573304,490,0.34086784359016664,0.10460320079194853,0.08084474509156905,0.2420392674476159
222501,25057,3834,10920.377287585125,0.3,1470,332,10.980699008868022,1200,1.3000000000000025,24.2,41.0,287,769,27.178030303030305,72.8219697,190,0.38341158059467917,0.08659363588941053,0.0495565988523735,0.3129890453834116
222502,48068,4041,3061.5987578706686,1.8,1235,254,14.600346448898788,972,13.199999999999994,24.0,21.1,826,257,76.26962142,23.73037857802401,295,0.30561742143033904,0.06285572878000495,0.07300173224449394,0.24053452115812918
222503,32813,7729,11750.13602846214,5.6,2779,1019,10.35062751,1764,4.3000000000000025,29.6,37.0,673,1261,34.79834539813857,65.20165460186142,344,0.35955492301720793,0.13184111786777072,0.044507698279208176,0.2282313365247768
222600,26790,5062,5003.142011729898,6.1,1735,680,28.07190833662584,1032,5.999999999999993,35.2,37.0,9,1961,0.4568527918781726,99.54314720812182,301,0.3427499012248123,0.13433425523508494,0.05946266297905966,0.20387198735677597
222700,21371,6011,2195.5190307615153,11.1,2251,668,83.76310098153385,1593,2.6000000000000085,30.7,44.2,257,1996,11.407012871726586,88.59298712827342,424,0.3744801197804026,0.11112959574114124,0.07053734819497588,0.26501414074197305
222800,31990,3134,1203.5173831607715,2.8,1084,314,4.786215698787492,750,10.399999999999997,19.1,39.6,496,322,60.63569682151589,39.36430317848411,166,0.34588385449904274,0.1001914486279515,0.052967453733248245,0.2393107849393746
222900,52758,8011,3563.273859677205,1.7,2764,520,15.16664586193983,2321,5.0,33.3,26.3,1563,442,77.95511221945137,22.044887780548628,878,0.3450255898140057,0.0649107477218824,0.10959930096117838,0.28972662588940207
223001,50670,4217,3480.432729059728,2.9,1453,334,14.062129475930757,1069,4.1,28.7,31.9,589,460,56.14871306,43.85128694,246,0.3445577424709509,0.0792032250414987,0.05833530946170263,0.253497747213659
223002,26093,3868,13531.756603118522,2.1,1208,356,15.046535677352638,863,4.199999999999999,20.3,41.2,527,726,42.05905826017558,57.940941739824424,441,0.31230610134436404,0.09203722854188211,0.1140124095139607,0.2231127197518097
223100,59342,2313,1252.932619,6.2,710,103,31.21487246000865,641,18.300000000000004,31.0,22.1,483,127,79.18032786885246,20.81967213114754,161,0.3069606571552097,0.04453091223519239,0.06960657155209685,0.2771292693471682
230100,35234,1229,2338.812977396878,6.6,194,45,78.43775427176566,145,3.1000000000000085,35.5,20.0,159,352,31.115459882583167,68.88454011741683,222,0.15785191212367777,0.03661513425549227,0.18063466232709519,0.11798209926769732
230200,31368,5347,1779.398727006836,13.2,1374,167,78.56742098372919,1154,3.299999999999997,38.6,21.6,1006,767,56.73998871968416,43.26001128031584,742,0.25696652328408454,0.031232466803815223,0.13876940340377783,0.21582195623714232
230300,32431,2460,3653.137759544245,20.7,671,270,72.84552845528455,443,2.4000000000000057,34.0,30.1,517,318,61.91616766467066,38.08383233532934,224,0.2727642276422764,0.10975609756097561,0.0910569105691057,0.18008130081300813
230400,29120,3319,2991.0360281383187,6.7,728,126,49.53299186501958,649,6.200000000000003,30.7,36.5,416,685,37.78383287920072,62.21616712079927,441,0.21934317565531786,0.03796324194034348,0.13287134679120216,0.1955408255498644
230500,35750,3640,2724.9553317499003,5.9,967,271,17.36263736263736,662,6.699999999999999,30.8,30.9,709,405,63.64452423698385,36.35547576301616,353,0.26565934065934066,0.07445054945054945,0.09697802197802198,0.18186813186813186
230600,31081,2728,3261.8761139858448,15.7,752,146,60.11730205278592,572,0.1000000000000014,30.9,35.0,551,365,60.15283843,39.84716157,402,0.2756598240469208,0.053519061583577714,0.14736070381231672,0.20967741935483872
230700,25313,2763,2652.5312791590936,15.1,884,270,69.99638074556641,641,2.200000000000003,37.7,34.1,406,577,41.30213631739573,58.697863682604265,371,0.3199420919290626,0.09771986970684039,0.13427433948606587,0.23199420919290625
