Tract,All POIs,11,21,22,23,31,32,33,42,44,45,48,49,51,52,53,54,55,56,61,62,71,72,81,92
250401,96,0,0,0,0,1,1,0,1,15,4,0,0,0,4,7,1,0,1,2,27,3,21,7,0
250402,145,0,0,0,0,0,0,0,1,19,9,0,1,0,6,12,1,0,0,12,33,6,18,27,0
250500,129,0,0,0,1,2,0,0,2,15,18,0,0,1,2,5,1,0,0,9,13,7,35,18,0
250600,325,0,0,0,1,2,1,4,7,67,27,0,2,4,11,7,7,0,2,11,33,15,53,67,3
250701,133,0,0,0,1,2,0,1,1,42,10,0,0,1,5,9,2,0,0,1,9,5,24,20,0
250702,89,0,0,0,0,0,0,0,3,12,9,0,1,1,4,2,0,0,0,2,15,1,18,21,0
250800,42,0,0,0,0,1,0,0,0,8,4,0,0,2,4,1,2,0,0,2,5,2,6,5,0
250900,70,0,0,0,0,0,0,0,1,10,2,0,0,1,7,4,0,0,0,5,10,4,11,14,1
251000,58,0,0,0,0,0,0,0,0,3,2,0,1,1,11,3,0,0,0,1,14,5,10,7,0
251100,95,0,0,0,0,0,0,0,1,15,6,0,1,0,4,2,0,0,1,3,28,6,16,10,2
251200,108,0,0,0,0,2,1,1,1,15,13,0,0,1,12,1,6,0,0,4,21,6,7,16,1
251300,75,0,0,0,0,0,0,0,1,12,9,1,1,0,2,1,3,0,0,8,12,2,9,14,0
251401,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
251402,29,0,0,0,0,0,0,0,1,6,1,0,0,0,1,1,1,0,0,3,3,2,6,4,0
251501,17,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,2,2,4,2,2,0
251502,54,0,0,0,0,0,0,0,0,9,2,0,0,3,0,0,1,0,0,2,10,5,15,5,1
251503,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
251600,21,0,0,0,0,0,0,1,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0
251700,104,0,0,0,2,0,0,2,1,20,8,1,1,0,4,1,1,0,0,5,4,5,20,27,2
251800,6,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1
251901,34,0,0,0,1,0,0,0,0,10,3,2,0,0,2,1,0,0,0,2,1,1,3,7,1
251902,46,0,0,0,0,0,0,0,2,5,1,0,1,1,5,1,2,0,0,1,9,3,10,4,1
252000,85,0,0,0,1,1,0,0,1,12,1,2,0,0,5,4,0,0,0,5,15,8,17,12,1
252100,11,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,3,0
252200,86,0,0,0,1,0,0,1,1,21,7,0,1,1,2,1,0,0,0,4,7,2,27,9,1
252301,61,0,0,0,0,0,0,1,0,17,1,0,0,1,0,0,1,0,0,4,9,3,16,8,0
252302,46,0,0,0,0,0,0,0,0,12,1,1,0,1,2,0,0,0,0,6,5,0,7,9,2
252400,78,0,0,0,3,0,0,1,0,17,5,1,1,2,5,1,1,0,1,2,7,3,17,11,0
252500,107,0,0,0,0,0,1,2,4,35,7,0,0,4,4,5,1,0,0,1,4,2,20,14,2
252600,82,0,0,2,1,0,0,1,2,24,1,1,1,0,2,4,1,0,0,3,5,5,20,8,0
252700,158,0,0,0,0,1,1,0,2,37,12,0,1,4,6,7,3,0,0,7,11,2,32,32,0
252800,47,0,0,0,0,0,0,0,0,11,2,1,0,1,0,0,0,0,0,3,4,3,5,16,1
252900,98,0,0,0,0,0,0,1,2,23,4,0,1,1,3,1,1,0,1,3,8,9,27,13,0
253000,24,0,0,0,1,0,0,0,0,5,1,1,0,0,0,0,0,0,0,3,3,2,3,5,0
253100,73,0,0,0,0,0,0,0,0,22,5,1,0,0,2,2,0,0,0,3,6,1,24,7,0
253200,250,0,0,0,0,1,0,1,1,69,20,2,1,7,12,9,2,0,0,8,15,8,64,29,1
253300,24,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,2,0,4,3,7,0
253400,18,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,5,1,2,6,0
253500,97,0,0,0,0,0,0,0,0,28,11,0,0,0,5,1,2,0,0,0,19,4,21,5,1
253600,71,0,0,0,0,0,0,0,0,12,3,0,0,0,6,4,2,0,0,2,20,2,11,9,0
253700,164,0,0,0,1,2,0,1,2,29,7,1,1,2,15,7,1,0,2,4,38,3,23,25,0
253800,61,0,0,0,1,0,0,0,3,14,3,1,0,0,5,3,1,0,0,4,5,4,3,12,2
253900,61,0,0,0,1,1,0,0,1,9,6,0,0,0,3,0,1,0,0,3,18,0,8,10,0
254000,20,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,3,3,4,3,1
254100,83,0,0,0,1,0,0,1,0,26,1,0,0,2,4,2,0,0,0,0,12,2,16,14,0
254200,28,0,0,0,0,1,0,0,0,4,2,0,0,0,2,1,0,0,0,1,1,2,5,9,0
254300,119,0,0,0,1,1,0,0,0,29,7,1,0,2,3,3,4,0,2,1,12,4,23,26,0
254400,41,0,0,0,1,1,0,0,0,5,1,0,0,1,1,1,1,0,0,6,4,2,3,14,0
254500,29,0,0,0,0,0,0,0,0,4,1,0,1,0,0,1,0,0,0,0,2,7,7,5,1
254600,22,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,3,1,4,1,5,0
254700,26,0,0,0,0,0,0,0,0,3,3,1,0,0,0,1,1,0,1,2,4,2,6,2,0
310100,144,0,0,0,0,5,0,1,0,24,10,2,0,1,3,1,0,0,0,2,11,18,47,18,1
310200,83,0,0,0,1,3,1,1,0,22,6,1,2,0,1,1,1,0,0,4,5,8,16,10,0
310300,50,0,0,0,0,1,1,1,0,8,7,0,0,0,1,1,0,0,0,4,2,8,8,7,1
310400,37,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,1,0,0,5,1,3,7,5,2
310500,58,0,0,0,0,1,1,0,0,21,1,2,0,1,4,0,2,0,1,2,2,3,8,9,0
310600,41,0,0,0,0,0,0,2,0,7,2,0,1,0,1,0,1,0,0,2,2,5,7,11,0
310700,54,0,0,0,0,0,0,0,0,7,3,1,0,2,6,0,1,0,0,4,9,3,10,8,0
310800,42,0,0,0,0,0,0,0,0,12,2,0,1,0,5,1,1,0,0,1,5,2,9,3,0
310900,100,0,0,0,0,0,0,0,1,24,5,1,0,4,7,3,2,0,0,3,10,0,26,10,0
311000,60,0,0,0,0,0,0,0,0,18,3,0,0,0,1,0,0,0,0,2,3,2,14,14,1
311100,46,0,0,0,0,1,1,0,0,10,0,2,0,0,1,0,0,0,0,1,1,1,15,12,1
311200,65,0,0,0,0,0,0,1,0,25,5,0,0,2,6,1,0,0,1,0,6,3,7,8,0
311300,38,0,0,0,0,0,0,0,0,9,1,0,0,0,2,0,1,0,0,3,6,1,10,4,0
311400,45,0,0,0,2,0,0,0,0,13,1,1,1,1,2,0,1,0,0,2,0,4,5,10,1
311500,42,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,1,0,0,3,1,4,11,9,0
311600,11,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,2,2,1,0,0
311700,141,0,0,0,1,1,0,1,2,47,11,0,1,7,8,2,3,0,0,3,8,4,29,12,0
311800,46,0,0,0,0,0,0,1,0,20,3,0,1,0,1,0,2,0,0,0,2,3,5,7,1
311900,62,0,0,0,0,2,0,0,2,18,5,0,0,3,4,2,0,0,0,1,4,3,13,5,0
312000,30,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,2,12,5,0
312100,37,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,6,1,5,18,2,0
312200,27,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,2,2,1,7,10,0
312300,35,0,0,0,0,1,0,0,0,4,1,0,0,0,2,0,0,0,0,2,1,7,1,15,1
312400,43,0,0,0,0,2,0,0,0,8,2,0,0,0,1,1,0,0,0,2,4,3,6,14,0
312500,160,0,0,0,0,3,1,1,0,28,16,2,1,2,4,6,0,0,0,5,24,15,31,18,3
312600,211,0,0,0,0,1,1,0,1,18,19,1,2,1,4,4,1,0,0,9,71,16,30,32,0
312700,40,0,0,0,0,1,0,0,0,10,3,0,0,0,1,0,2,0,0,0,8,3,4,8,0
312800,24,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,3,0,4,8,3,1
312900,18,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,0,2,6,0
313000,53,0,0,0,0,2,0,0,0,8,0,0,0,0,5,1,1,0,0,3,6,3,11,12,0
313100,59,0,0,0,0,0,0,0,0,3,1,0,0,0,2,1,1,0,0,2,25,13,10,1,0
313200,83,0,0,0,0,1,0,0,0,21,2,0,0,0,5,3,2,0,0,5,11,2,18,10,1
313300,33,0,0,0,0,0,0,0,0,5,2,0,0,1,0,0,1,0,0,4,3,3,4,10,0
313400,56,0,0,0,0,0,1,0,1,14,4,0,1,4,6,4,1,0,0,2,4,2,3,9,0
313500,39,0,0,0,1,0,0,0,0,10,2,0,0,1,0,0,0,0,0,2,2,0,4,16,0
